,article_id,comment_number,comment_content,comment_author,comment_timestamp
44,250305,114839,هنيئا لفريق النادي برحيل ميسي لمعرفة ابطاله الحقيقيين المقبرين وسيعرف ميسي حقيقته الكروية الهشة,ع.ب,2020-08-26 09:21:53+01:00
45,250337,114836,رحيل ميسي عن الفريق عملية مربحة للنادي حيث سيظهر اللاعبون مهاراتهم التي كانت مقبرة وستظهر  كرة القدم الجماعية التي كانت غاءبة بالنادي الكاتلوني …اما فشل ميسي الحقيقي سيعرى في اي فريق لجا اليه مثله كمثل اللاعبين الاخرين المغادرين للنادي  ….لننظر الى فريق الريال البطل بعد مغادرة رولاندو اصبح لعب الفيق جماعيا وهذه كرة القدم الحقيقية…..,ع.ب,2020-08-26 09:06:59+01:00
46,250337,114837,هنيئا لفريق النادي برحيل ميسي لظهور اللاعبين الحقيقيين المقبرين كما ستعرفون ضعف اللاعب ميسي الحقيقي في كرة القدم في اي فريق توجه اليه,عبيد,2020-08-26 09:13:48+01:00
47,250337,114840,برشلونة هي ميسي,غير معروف,2020-08-26 10:01:31+01:00
48,250766,115056,سنسمع قريبا تأجيل الدراسة بثانوية xxxx و وضع تلاميذ الثالت إعدادي بإعدادية yyyy تحت الحجر الصحي و ربما إنشاء مستشفى ميداني بمدرسة  zzzzz.,محمد,2020-08-28 15:29:21+01:00
49,250766,115064,قريبا سنسمع عن تأجيل الدراسة بثانوية xxxx و وضع تلاميذ المستوى الثالت بإعدادية yyyy تحت الحجر الصحي و لم لا إنشاء مستشفى ميداني بمدرسة zzzz .,محمد,2020-08-28 17:05:05+01:00
50,252149,115694,هو حر,صالح,2020-09-05 11:49:35+01:00
51,251961,115593,فل يبحثوا عنه في صندوق مصر السيادي تع السيسي… وهو مملوك بالكامل لسيسي… وهو شفر مصر كلها ابقى ليه غير كأس افريقيا…,مغربي محبوب,2020-09-04 12:28:02+01:00
52,251961,115606,الاخوان عملوها مرة اخرى😂😂,محارب قديم,2020-09-04 15:33:07+01:00
53,254088,116856,ار اد  رئيس نادي الزمالك المصري “مرتضى منصور” المعروف بخرجاته وتنطعاته العنترية  واللا اخلاقية  ان يحشر انفه في اختصاصات المدرب ودلك بفرض بعض اللاعبين في تشكيلة الفريق في احدى  المقابلات..هدا التصرف لم يقبله المدرب واثار  انتباه الر ئيس بان تشكيلة الفريق هو امسؤول عنها لانه هو من سيتحمل عواقب النتيجة خاصة عند الهزيمة.هدا لم يعجب الرئيس المعروف بلسانه السليط فنطق بكلام دكر فيه والد “كارتيرون” مما جعل هدا الا خير  يرد عليه بكلام اكبر منه اد قال له”ان ابي مع امك الان”الشيء الدي اثار حنق الر ئيس ..,ملاحظ,2020-09-16 10:33:10+01:00
54,243013,111851,المرجو مدنا بمعلومات حول مال المغاربة العالقين بالسويد لمنجد من يدلنا حتى السفارة اغلقت رقم الهاتف ولم يعدلدينا حتى وسيلة لتواصل,حفيضة الجورضي,2020-07-16 15:17:41+01:00
55,243051,111839,لا اعرف شركة غير شركة gnv التي مصت جيوب المغاربة ، وكما تعودنا من مسؤولينا بلاغات مبهمة، لا تحيي ولا تميت، على الاقل دلونا على اسماء الشركتين حتى يتسنى لنا اقتناء التذاكر على متنها، لانه من غير المعقول تسديد 850 يورو لتذكرة واحدة من سيت الى طنجة,من فرنسا,2020-07-16 11:30:38+01:00
56,243051,111871,واين هي اسماء هده الشركات لمن أراد الحجز يجب تقديم المعلومة كاملة وشكرا,رشيد,2020-07-16 19:11:02+01:00
57,243334,111949,لا اله الا الله، الناس تعذبت، اسعار غااااالية وشركة لا يهمها المواطن، والمسؤولون ساكتة.,من فرنسا,2020-07-18 08:44:58+01:00
