,article_id,author,writer,category,number_of_comments,timestamp,title,article_link
48,252700,هبة بريس ـ الرباط,ي.الضميري,مجتمع,3,2020-09-08 10:10:01+00:00,أخصائية مغربية تؤكد فعالية دواء ”الكورتيزون“ في إنقاذ أرواح المصابين ب”كورونا“,https://ar.hibapress.com/details-252700.html
49,252600,هبة بريس ـ الرباط,عبد الله عياش,مجتمع,0,2020-09-07 17:09:56+00:00,خلال 24 ساعة …تسجيل 1386 إصابة جديدة ب”كورونا”,https://ar.hibapress.com/details-252600.html
50,252617,هبة بريس ـ الرباط,عبد الله عياش,مجتمع,2,2020-09-07 18:18:39+00:00,التوزيع الجغرافي لـ 1386 اصابة بكورونا ..جهة الدار البيضاء في الصدارة,https://ar.hibapress.com/details-252617.html
51,252703,هبة بريس ـ الدار البيضاء,ي.الضميري,مجتمع,0,2020-09-08 10:28:20+00:00,تحاليل السفر لخارج المغرب ترفع عدد المصابين بكورونا في البيضاء,https://ar.hibapress.com/details-252703.html
52,252694,ع اللطيف بركة : هبة بريس ,ي.الضميري,مجتمع,0,2020-09-08 09:58:10+00:00,تارودانت.. مهنيو الصحة يرفضون “ضبابية” مذكرة أيت الطالب,https://ar.hibapress.com/details-252694.html
53,252727,هبة بريس ـ الرباط ,ي.الضميري,مجتمع,0,2020-09-08 13:10:39+00:00,استفادة أكثر من 580 شابة وشاب من مبادرة “مستقل” للدراسة والتكوين,https://ar.hibapress.com/details-252727.html
54,252641,هبة بريس ـ و م ع,عبد الله عياش,مجتمع,0,2020-09-07 21:01:14+00:00,البيضاء ..التدابير المتعلقة بتطويق ” كورونا ” تدخل حيز التنفيد,https://ar.hibapress.com/details-252641.html
55,252730,هبة بريس – يوسف أقضاض,ي.الضميري,مجتمع,0,2020-09-08 13:14:43+00:00,فلاحو جرسيف يستنجدون بملك البلاد لصرف مستحقاتهم المالية,https://ar.hibapress.com/details-252730.html
56,252763,هبة بريس – الرباط,reda lakbir,مجتمع,1,2020-09-08 17:13:01+00:00,تسجيل 1941 حالة إصابة مؤكدة بفيروس كورونا خلال ال24 الماضية,https://ar.hibapress.com/details-252763.html
57,252775,هبة بريس ـ الرباط,عبد الله عياش,مجتمع,0,2020-09-08 17:33:30+00:00,خلال 24 ساعة ..تسجيل 1427 حالة شفاء,https://ar.hibapress.com/details-252775.html
