,article_id,author,category,number_of_comments,timestamp,title,article_link
17,476733,بلال مرميد,art-et-culture,8,2020-07-02 06:00:00,"مرميد يقدم نصائح بالمجان بعيدا عن ""بهرجة وحسابات عبدة الريع""",https://www.hespress.com/art-et-culture/476733.html
18,476803,هسبريس من الرباط,art-et-culture,0,2020-07-03 07:05:00,"الباحث بوخليط يتأمل في ""مختارات للحاضر والمستقبل""‎",https://www.hespress.com/art-et-culture/476803.html
19,476640,هسبريس من الرباط,art-et-culture,2,2020-07-01 07:50:00,مصطفى غلمان يصدر الأضمومة الشعرية السادسة‎,https://www.hespress.com/art-et-culture/476640.html
20,476728,هسبريس من الرباط,art-et-culture,7,2020-07-03 01:00:00,"تعديلات تمسّ دفتر تحمّلات الدعم الاستثنائي للإبداع خلال ""كورونا""",https://www.hespress.com/art-et-culture/476728.html
21,477201,هسبريس - مصطفى شاكري,marocains-du-monde,104,2020-07-07 14:00:00,"""عملية مرحبا"" لعبور المغاربة ترفع حرارة الصيف في جنوب إسبانيا",https://www.hespress.com/marocains-du-monde/477201.html
22,477365,هسبريس - محمد الراجي,marocains-du-monde,51,2020-07-08 11:20:00,طبيب مغربي يرقد بين الحياة والموت في أوكرانيا,https://www.hespress.com/marocains-du-monde/477365.html
23,476754,رشيد الكويرتي من فاس ,art-et-culture,1,2020-07-01 00:00:00,شامة الزاز تغادر مصحة فاس وتعود إلى تاونات,https://www.hespress.com/art-et-culture/476754.html
24,476730,هسبريس من الرباط,art-et-culture,0,2020-07-02 03:25:00,"الشارقة للفنون تفتتح معرض ""الفنّ في زمن القلق""",https://www.hespress.com/art-et-culture/476730.html
25,476561,هسبريس - وائل بورشاشن,art-et-culture,1,2020-07-01 10:10:00,المكتبة الوطنية تستعد لاستقبال الطلبة الباحثين,https://www.hespress.com/art-et-culture/476561.html
26,476559,هسبريس ـ عبد الرحيم العسري,art-et-culture,29,2020-07-01 14:00:00,"وزارة الثقافة تنقذ القاعات السينمائية من ""جائحة كورونا"" بالدعم المالي",https://www.hespress.com/art-et-culture/476559.html
27,476683,هسبريس من الرباط,art-et-culture,3,2020-07-02 04:00:00,"هل يحرر مشروع قانون ""حقوق المؤلف"" صناعة الثقافة بالمغرب؟‎",https://www.hespress.com/art-et-culture/476683.html
28,476884,محجوب بنسعيد,art-et-culture,0,2020-07-03 14:31:00,"صدور العدد الجديد من المجلة الشهرية ""الرابطة""",https://www.hespress.com/art-et-culture/476884.html
29,476584,هسبريس من الرباط,art-et-culture,47,2020-07-01 02:00:00,آلاف الفنانين المغاربة يستفيدون من الدعم المالي لصندوق كورونا,https://www.hespress.com/art-et-culture/476584.html
30,476828,هسبريس - وائل بورشاشن,art-et-culture,2,2020-07-05 05:00:00,"رقمنة إبداعات فنية مغربية تعيد الجمهور إلى ""المتاحف عن بعد""",https://www.hespress.com/art-et-culture/476828.html
31,477013,عزيز لعويسي,art-et-culture,2,2020-07-05 08:45:00,أرشيف المغرب يقرب الأرصدة الوثائقية من المرتفقين,https://www.hespress.com/art-et-culture/477013.html
