article_id,author,category,number_of_comments,timestamp,title
475759,حسن الركاز من هولندا,marocains-du-monde,30,الثلاثاء 23 يونيو 2020 - 08:36,مغاربة عالقون بهولندا: العودة للوطن هدية ثمينة
475703,هسبريس من الرباط ,marocains-du-monde,22,الثلاثاء 23 يونيو 2020 - 12:00,"مغربيات يخضن ""مغامرة البحث"" عن أبناء معتقلين في سجون تركية‬"
475913,هسبريس - أمال كنين,marocains-du-monde,35,الأربعاء 24 يونيو 2020 - 14:10,"إسبانيا ترحب بقرار المغرب إلغاء عملية ""مرحبا"""
482006,عبد الكريم هرواش من الناظور,regions,5,الاثنين 24 غشت 2020 - 08:03,"جهة الشّرق تسجّل 11 إصابة جديدة بـ""كوفيد-19"""
475828,هسبريس - مصطفى شاكري,marocains-du-monde,92,الثلاثاء 23 يونيو 2020 - 20:30,"الحكومة الإسبانية تعتزم تسهيل عبور المغاربة ""فرادى"" في الصيف‬"
482025,جمال سماحي من تطوان ,regions,20,الاثنين 24 غشت 2020 - 08:41,تدوين معطيات خاصة بالزبائن يثير استياءً في تطوان
481983,محمد ايت حساين من تنغير,regions,6,الاثنين 24 غشت 2020 - 09:07,تدابير وقائية صارمة لمحاصرة الوباء بإقليم ورزازات
482002,إبراهيم مغراوي ,regions,6,الاثنين 24 غشت 2020 - 10:09,خرق قانون الطوارئ الصحية يغلق مطاعم بالصويرة
482102,رشيد بيجيكن من أكادير,regions,0,الاثنين 24 غشت 2020 - 19:15,أكادير تتصدر سوس في الإصابات الجديدة بكورونا
482081,عبد الكريم هرواش من الناظور,regions,0,الاثنين 24 غشت 2020 - 16:30,"مليلية تسجّل أعلى حصيلة يومية بفيروس ""كورونا"""
482021,هسبريس ـ محمد لديب,regions,34,الاثنين 24 غشت 2020 - 11:00,"""سلطات البيضاء"" تحاصر اكتظاظ وسائل النقل لمنع تفشي ""كورونا"""
482103,هسبريس من الرباط,regions,27,الاثنين 24 غشت 2020 - 19:00,"جهتان تخلوان من ""كورونا"" .. ومعدل الفتك يرتفع إلى 1.7 بالمائة‬"
482129,محمد ايت حساين,regions,0,الاثنين 24 غشت 2020 - 22:34,"درعة تافيلالت تسجل 34 إصابة جديدة بـ""كورونا"""
482131,عبد الكريم هرواش من الناظور ,regions,0,الاثنين 24 غشت 2020 - 22:39,"كلية ""سلوان"" تنفي ""شائعة"" تأجيل الامتحانات"
482119,عبد الكريم هرواش من الناظور,regions,1,الاثنين 24 غشت 2020 - 22:56,"جماعة ""بوعرك"" تتعزّز بافتتاح أول مركز صحّي"
482111,حميد رزقي,regions,3,الاثنين 24 غشت 2020 - 23:44,تفاصيل الحالة الوبائية بجهة بني ملال خنيفرة
482115,أيوب صدور من تطوان,regions,20,الاثنين 24 غشت 2020 - 21:35,"انخفاض ملحوظ في ""إصابات كورونا"" بجهة طنجة"
482049,هسبريس من الدار البيضاء,regions,46,الاثنين 24 غشت 2020 - 20:00,"""خرق التدابير الصحية"" يسائل الوعي الفردي لساكنة الدار البيضاء"
