article_id,author,category,number_of_comments,timestamp,title
478675,هسبريس من الرباط,societe,(56),الثلاثاء 21 يوليوز 2020 - 09:00,هل يؤدي عيد الأضحى إلى ظهور بؤر وبائية جديدة في المملكة؟‬
478665,هسبريس من الرباط,societe,(90),الثلاثاء 21 يوليوز 2020 - 10:00,مؤشّر دولي: المغرب يضاهي دول أوروبا في معدل الأمن والاستقرار
478708,هسبريس من الرباط,societe,(41),الثلاثاء 21 يوليوز 2020 - 12:00,"مغاربة يطلبون تخفيف إجراءات ""الحجر الصّحي"" قُبيل عطلة العيد‬"
478613,هسبريس - محمد الراجي,societe,(57),الثلاثاء 21 يوليوز 2020 - 11:00,"باحث يقترح الاستعانة بـ""العبادات المالية"" لتمويل المنظومة الصحية"
477776,هسبريس من الرباط,medias,(59),السبت 11 يوليوز 2020 - 20:00,رصيف الصحافة: هل تعوّض الجزائر المغاربة المطرودين سنة 1975؟
477893,هسبريس من الرباط,medias,(29),الأحد 12 يوليوز 2020 - 22:35,رصيف الصحافة: ارتفاع حالات حرجة لكورونا بالشمال يؤرق الحكومة
477102,هسبريس من الرباط,medias,(27),الأحد 12 يوليوز 2020 - 03:00,"""دليل الأنترنيت"" .. جريدة تعلم المغاربة التقنيات الحديثة للتواصل"
478055,هسبريس من الرباط,medias,(3),الثلاثاء 14 يوليوز 2020 - 16:30,لقاء بين الفردوس ورئيس جمعية الإعلام والناشرين
477928,هسبريس - أمال كنين (كاريكاتير: عماد السنوني),medias,(13),الاثنين 13 يوليوز 2020 - 12:25,"""‪ميدي1"" .. تسجيل إصابات بكورونا وسط العاملين"
478005,هسبريس من الرباط,medias,(17),الاثنين 13 يوليوز 2020 - 22:00,"رصيف الصحافة: فيروس ""كورونا"" يضرب مستعجلات مدينة طانطان"
477965,هسبريس من الرباط,medias,(20),الاثنين 13 يوليوز 2020 - 21:50,"ندوة تقارب علاقة ""وسائل الإعلام بالتربية الجنسية"""
478216,هسبريس من الرباط,medias,(21),الأربعاء 15 يوليوز 2020 - 22:00,رصيف الصحافة: حركة انتقالية مرتقبة في صفوف الأمن الوطني
478103,هسبريس من الرباط,medias,(33),الثلاثاء 14 يوليوز 2020 - 21:42,"رصيف الصحافة: هدم مقهى ""الأوداية"" يثير غضب ساكنة الرباط"
478360,هسبريس - محمد الراجي,medias,(3),الجمعة 17 يوليوز 2020 - 16:15,"مهنيون مغاربة يرفضون تغوّل ""صحافة التشهير"""
478274,هسبريس من الرباط,medias,(84),الخميس 16 يوليوز 2020 - 15:05,"قناة ""ميدي 1 تيفي"" تطرد الصحافي بلهيسي"
478134,هسبريس من الرباط,medias,(21),الأربعاء 15 يوليوز 2020 - 11:15,"‪نيويورك تايمز تسحب اتهام ""أمنستي"" ضد المغرب"
478314,هسبريس من الرباط,medias,(33),الخميس 16 يوليوز 2020 - 22:00,رصيف الصحافة: لوبيات استغلال الشواطئ المغربية تبتز المصطافين
478429,هسبريس من الرباط,medias,(26),الجمعة 17 يوليوز 2020 - 22:30,"رصيف الصحافة: الغموض يسود تدابير علاج ""كورونا"" في طنجة"
478513,هسبريس من الرباط,medias,(22),السبت 18 يوليوز 2020 - 21:17,"جمعية ""إيزيك"" تتضامن مع الصحافي بلهايسي"
478609,هسبريس من الرباط,medias,(10),الأحد 19 يوليوز 2020 - 22:00,"رصيف الصحافة: ""كورونا"" على متن سفينة يستنفر سلطات طنجة"
478494,هسبريس من الرباط,medias,(49),السبت 18 يوليوز 2020 - 21:00,"رصيف الصحافة: ""الدرس المغربي"" يثير اهتمام الرئيس التونسي سعيّد"
478482, رشيد بيجيكن من أكادير,faits-divers,(11),الأحد 19 يوليوز 2020 - 00:37,السرقة بالعنف توصل الشرطة إلى عصابة إجرامية
478515,مصطفى البكار من تزنيت,faits-divers,(7),السبت 18 يوليوز 2020 - 23:33,"درك تزنيت يضبط شحنة مهيّجات وأقراص ""دردك"""
478691,هسبريس من الدارالبيضاء,medias,(23),الاثنين 20 يوليوز 2020 - 17:50,القاضي يستمع للريسوني ساعات .. والصحافي يرفض الاتهامات
478717,هسبريس من الرباط,medias,(3),الاثنين 20 يوليوز 2020 - 22:00,"رصيف الصحافة: مصابون بـ""كورونا"" يجتازون مباريات ""الداخلية"""
478526,صالح الخزاعي من خريبكة,faits-divers,(11),الأحد 19 يوليوز 2020 - 00:47,حادث يُخلف قتيليْن وجرحى بين وادي زم وبوجنيبة
